first_month,new_customers,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11
1,447,100.00,0.67,2.24,1.57,2.01,3.58,1.57,3.36,2.68,2.46,3.80,5.15
2,381,100.00,1.05,1.84,3.67,2.89,1.31,2.62,3.41,3.41,2.89,3.41,0.00
3,514,100.00,0.39,3.11,2.92,1.75,3.50,4.09,3.89,3.70,4.86,0.00,0.00
4,504,100.00,2.38,4.56,2.38,3.37,3.77,2.58,4.17,4.17,0.00,0.00,0.00
5,611,100.00,3.11,1.80,2.13,4.26,2.95,5.56,2.62,0.00,0.00,0.00,0.00
6,805,100.00,1.49,2.61,3.48,2.11,2.98,3.98,0.00,0.00,0.00,0.00,0.00
7,479,100.00,2.30,2.71,1.67,3.97,2.92,0.00,0.00,0.00,0.00,0.00,0.00
8,732,100.00,4.51,3.01,3.14,4.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9,837,100.00,2.75,4.06,3.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10,651,100.00,3.69,2.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11,831,100.00,2.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12,832,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
